LANG_ISO,y_obs,y_hat,y_avg,residual,y_hat_50,y_avg_50,change in rank in 50 years,change in expectation of rank in 50 years,y_hat_100,y_avg_100,change in rank in 100 years,change in expectation of rank in 100 years
aee,1,1,1.01151383233758,0,1,1.01157006199531,0,5.62296577300003E-05,1,1.01158700867138,0,7.31763337999958E-05
aek,2,1,1.58120303102038,1,1,1.58168990508911,0,0.00048687406873,1,1.58189106678238,0,0.000688035762
ael,1,1,1.0454793597088,0,1,1.04523148319403,0,-0.00024787651477,1,1.04517962849029,0,-0.00029973121851
aem,2,1,1.36488592547165,1,1,1.36528699064574,0,0.00040106517409,1,1.36536118118575,0,0.0004752557141
aeq,1,2,1.91410545659054,-1,2,1.91365989126037,0,-0.00044556533017,2,1.91364445718249,0,-0.00046099940805
aer,1,1,1.00215894099257,0,1,1.00215953955483,0,5.98562259979119E-07,1,1.00216082624128,0,1.88524871003182E-06
aeu,1,1,1.01186112223456,0,1,1.01193324135398,0,7.21191194201776E-05,1,1.01194914898775,0,8.80267531899737E-05
aew,1,1,1.01569358208821,0,1,1.0156832487381,0,-1.03333501100256E-05,1,1.0156786513163,0,-1.4930771909949E-05
aey,1,1,1.00002883184395,0,1,1.00002886347612,0,3.16321699944666E-08,1,1.00002886350841,0,3.16644599429594E-08
aez,1,1,1.00231753423383,0,1,1.00231515868095,0,-2.37555287996294E-06,1,1.00231471796453,0,-2.81626929998779E-06
afd,1,1,1.08364469834475,0,1,1.08349137908301,0,-0.00015331926174,1,1.08345970699598,0,-0.00018499134877
afe,1,1,1.00582790677703,0,1,1.00582493644762,0,-2.97032940999031E-06,1,1.00581462304334,0,-1.32837336899172E-05
afi,1,1,1.0579656573084,0,1,1.05791975680035,0,-4.59005080499786E-05,1,1.05791073356558,0,-5.49237428200122E-05
afk,1,1,1.00538134132829,0,1,1.00537293990996,0,-8.40141832991748E-06,1,1.00537161369888,0,-9.72762940998351E-06
afn,2,1,1.0911483492604,1,1,1.09120983962929,0,6.1490368890027E-05,1,1.09431995281105,0,0.00317160355065
afo,1,1,1.00871130253664,0,1,1.00879590241454,0,8.45998778999935E-05,1,1.00877653792789,0,6.52353912498071E-05
afp,1,1,1.06721986936704,0,1,1.06715016399372,0,-6.97053733200725E-05,1,1.06712356433745,0,-9.63050295901269E-05
afr,1,1,1.00205906983756,0,1,1.00215768434351,0,9.86145059500565E-05,1,1.00225822760909,0,0.00019915777153
afs,2,1,1.59347716981329,1,1,1.59311193774905,0,-0.00036523206424,1,1.59300937254036,0,-0.00046779727293
aft,1,1,1.3560928060411,0,1,1.35687914764303,0,0.00078634160193,1,1.35680062588984,0,0.00070781984874
afu,1,1,1.00796375494876,0,1,1.01136645490108,0,0.00340269995232,1,1.01308690040669,0,0.00512314545793
afz,1,1,1.15164546383608,0,1,1.1520886373719,0,0.00044317353582,1,1.15221491870572,0,0.00056945486964
agb,1,1,1.00106345592737,0,1,1.0010761616995,0,1.27057721301949E-05,1,1.00107331735675,0,9.86142938019796E-06
agc,1,1,1.00137063970068,0,1,1.00139403055659,0,2.3390855909966E-05,1,1.00138963309893,0,1.89933982499557E-05
agd,1,1,1.00000547666028,0,1,1.00000546885751,0,-7.80276998568752E-09,1,1.00000547008774,0,-6.57253984570616E-09
age,1,1,1.00000517161417,0,1,1.00000518405906,0,1.24448900074015E-08,1,1.00000518486416,0,1.32499899940797E-08
agg,1,1,1.0022930070611,0,1,1.00229784296448,0,4.83590337996276E-06,1,1.00229876834364,0,5.76128253992891E-06
agh,1,1,1.00654633012317,0,1,1.00652183773421,0,-2.44923889600734E-05,1,1.00651680061944,0,-2.95295037300303E-05
agj,1,1,1.00393210528097,0,1,1.00391510574121,0,-1.69995397600875E-05,1,1.00390471146917,0,-2.73938118000583E-05
