,REGION,SOVEREIGNT,SOV_A3,ADMIN,ADM0_A3,ISO_A3,GDP_2010USD_10yr_median,Gini_SWIID_10yr_median,Ed_spending_pcGDP_10yr_median,Ed_spending_yr,Mean_yr_school_10yr_median,Life_exp_birth_10yr_median,Life_exp_sixty_average,Urban_pop_pc_change_1960-2017,Minority_Ed_Policy,gdp.pcap.10yrmed,expense.pcGDP.10yrmed,ed.sp.prm.pcGDP.10yrmed,ed.sp.sec.pcGDP.10yrmed,ed.sp.tert.pcGDP.10yrmed,ed.sp.tot.pcxpd.10yrmed
123,Asia,Pakistan,PAK,Pakistan,PAK,PAK,1.77E+11,34.2,2.493439913,2010,4.7,65.134,17.7437307,14.338,0,993.3829437,NA,32.6824,33.37814,22.78857,12.08263016
124,South America,Panama,PAN,Panama,PAN,PAN,29440300000,47.3,3.330649972,2010,9.3,76.828,23.93778817,26.116,1,8082.028459,NA,23.47102,22.42744,22.24082,13.95477486
125,South America,Peru,PER,Peru,PER,PER,1.48E+11,46.9,2.867749929,2010,8.6,73.681,21.26524936,30.909,1,5082.354757,18.02013368,39.69055,31.86791,14.42556,14.36907005
126,Asia,Philippines,PHL,Philippines,PHL,PHL,2.00E+11,41.6,2.595340014,2010,9,68.32,17.17240194,16.385,1,2217.474009,13.58159941,51.31508,26.10296,11.28228,13.26852989
127,Australia,Papua New Guinea,PNG,Papua New Guinea,PNG,PNG,14250726290,47.8,2.01,2017,4,64.634,16.84059019,9.377,1,1928.29268,20.99035823,30.07011,21.66349,40.42654,10.6982
128,Europe,Poland,POL,Poland,POL,POL,4.79E+11,31.3,4.940110207,2010,11.9,76.24634146,21.38653359,12.213,1,12599.53358,35.44859511,31.03347,35.5027,22.77437,11.37921047
129,South America,United States of America,US1,Puerto Rico,PRI,PRI,98381300000,37.4,6.276870012,2010,13.2,78.42585366,23.73826354,49.04,0,27134.51941,NA,21.82219,24.085085,37.68067,14.3
130,Asia,North Korea,PRK,North Korea,PRK,PRK,2.80E+10,NA,NA,NA,NA,69.572,NA,21.483,0,NA,NA,NA,NA,NA,NA
131,Europe,Portugal,PRT,Portugal,PRT,PRT,2.34E+11,33.7,5.070759773,2010,8.1,79.02682927,23.71829047,29.697,0,22124.57998,43.75637012,28.82131,42.60779,18.7873,10.4265604
132,South America,Paraguay,PRY,Paraguay,PRY,PRY,27215968616,46.2,4.365349889,2010,7.7,72.285,21.03179725,25.731,1,4355.934939,12.58518229,38.38035,34.16674,20.771615,19.52947521
