,REGION,SOVEREIGNT,SOV_A3,ADMIN,ADM0_A3,ISO_A3,GDP_2010USD_10yr_median,Gini_SWIID_10yr_median,Ed_spending_pcGDP_10yr_median,Ed_spending_yr,Mean_yr_school_10yr_median,Life_exp_birth_10yr_median,Life_exp_sixty_average,Urban_pop_pc_change_1960-2017
39,Europe,Northern Cyprus,CYN,Northern Cyprus,CYN,CYN,24838410596,NA,6.404249907,2010,11.5,79.43,22.13207086,31.208
40,Europe,Cyprus,CYP,Cyprus,CYP,CYP,24838410596,29.8,6.404249907,2010,11.5,79.43,22.13207086,31.208
41,Europe,Czech Republic,CZE,Czech Republic,CZE,CZE,2.08E+11,25.2,4.090889931,2010,12.4,77.42439024,21.35573084,14.127
42,Europe,Germany,DEU,Germany,DEU,DEU,3.48E+12,28.7,4.846944809,2010,13.8,79.98780488,23.27256729,5.877
43,Africa,Djibouti,DJI,Djibouti,DJI,DJI,1128611700,41.6,8.322334766,2010,4,60.383,17.49697962,27.323
44,Europe,Denmark,DN1,Denmark,DNK,DNK,3.30E+11,25.1,7.907740116,2010,12.8,79.1,22.92931827,14.07
45,South America,Dominican Republic,DOM,Dominican Republic,DOM,DOM,53982886258,45.5,2.046789885,2010,7.3,72.702,21.74850077,50.086
46,Africa,Algeria,DZA,Algeria,DZA,DZA,1.61E+11,32.9,4.33701992,2010,7.2,74.676,21.53839198,41.542
47,South America,Ecuador,ECU,Ecuador,ECU,ECU,69555367000,44.3,4.726890087,2010,7.9,75.046,22.87426612,29.792
48,Africa,Egypt,EGY,Egypt,EGY,EGY,2.19E+11,40.4,3.881304979,2010,6.5,70.357,17.25538976,4.841
49,Africa,Eritrea,ERI,Eritrea,ERI,ERI,2179437333,NA,2.127000093,2010,3.9,62.181,NA,25.972
50,Europe,Spain,ESP,Spain,ESP,ESP,1.42E+12,33.7,4.328340054,2010,9.4,81.62682927,24.98728627,23.513
51,Europe,Estonia,EST,Estonia,EST,EST,21932809903,33,5.116640091,2010,12.5,75.42926829,21.44947316,11.184
52,Africa,Ethiopia,ETH,Ethiopia,ETH,ETH,29933790334,32.4,5.073059797,2010,2.3,61.625,17.91786903,13.877
53,Europe,Finland,FI1,Finland,FIN,FIN,2.48E+11,25.3,6.485179901,2010,12.3,79.87073171,23.75704486,30.035
54,Australia,Fiji,FJI,Fiji,FJI,FJI,3140508836,39.3,4.498479843,2010,9.6,69.267,17.0835741,26.061
55,South America,United Kingdom,GB1,Falkland Islands,FLK,FLK,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699
56,Europe,France,FR1,France,FRA,FRA,2.67E+12,29.4,5.500279903,2010,10.9,81.66341463,25.16523788,18.3
57,Africa,Gabon,GAB,Gabon,GAB,GAB,14358584300,39.3,3.013400078,2010,7.6,62.893,18.26396412,71.578
58,Europe,United Kingdom,GB1,United Kingdom,GBR,GBR,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699
59,Europe,Georgia,GEO,Georgia,GEO,GEO,11638500814,38.9,2.696870089,2010,12.2,72.73,18.72290002,15.162
60,Africa,Ghana,GHA,Ghana,GHA,GHA,32174772956,41.2,5.941709995,2010,6.7,60.924,15.59409806,32.155
