Name	Name_stripped_no_spaces	iso639_3	iso639_3_macro	glottocode	Family_name_glottolog	Classification_ethnologue	Population_numeric_ethnologue	endangerment_status_glottolog	desc_status_glottolog	Language_status_ethnologue	level	AUTOTYP_area	Longitude	Latitude
Anasi	Anasi	bpo	NA	anas1239	Bookkeeping	East Geelvink Bay	2000	threatened	overview	6a (Vigorous).	language	N Coast New Guinea	137.716	-1.73908
Ahirani	Ahirani	ahr	NA	ahir1243	Bookkeeping	Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Khandesi	1870000	not endangered	NA	6a (Vigorous).	language	Indic	73.685	21.552
Loarki	Loarki	lrk	NA	loar1234	Bookkeeping	Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Rajasthani, Marwari	20000	not endangered	NA	6a (Vigorous).	language	Indic	68.715	26.095
Mina (India)	Mina_India	myi	NA	mina1267	Bookkeeping	Indo-European, Indo-Iranian, Indo-Aryan, Unclassified	3800000	not endangered	overview	6a (Vigorous).	language	Indic	74.5977	23.7425
Chamari	Chamari	cdg	NA	cham1329	Bookkeeping	Indo-European, Indo-Iranian, Indo-Aryan, Western Hindi, Unclassified	406000	not endangered	overview	6a (Vigorous).	language	Indic	79.6232	21.3532
Gowli	Gowli	gok	NA	gowl1241	Bookkeeping	Indo-European, Indo-Iranian, Indo-Aryan, Western Hindi, Unclassified	35000	not endangered	ethnographic	6a (Vigorous).	language	Indic	77.3733	21.7726
Dhanwar (India)	Dhanwar_India	dha	NA	dhan1267	Bookkeeping	NA	NA	NA	overview	NA	language	Indic	83.1644	23.0613
Kayort	Kayort	kyv	NA	kayo1247	Bookkeeping	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese	22000	threatened	NA	6b (Threatened).	language	Indic	87.6042	26.6179
Mirgan	Mirgan	zrg	NA	mirg1238	Bookkeeping	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese	60000	not endangered	overview	6a (Vigorous).	language	Indic	81.33599	23.43055
Desiya	Desiya	dso	NA	desi1235	Bookkeeping	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Oriya	50000	not endangered	overview	3 (Wider communication).	language	Indic	82.646	18.965
Degaru	Degaru	dgu	NA	dega1238	Bookkeeping	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Unclassified	10000	threatened	overview	6a (Vigorous).	language	Indic	86.7694	25.0461
Kukna	Kukna	kex	NA	kukn1238	Bookkeeping	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Konkani	211000	not endangered	wordlist	3 (Wider communication).	language	Indic	73.5713	20.5657
Bhalay	Bhalay	bhx	NA	bhal1245	Bookkeeping	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Unclassified	8670	threatened	overview	6a (Vigorous).	language	Indic	77.8268	21.2665
Gowlan	Gowlan	goj	NA	gowl1242	Bookkeeping	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Unclassified	20200	not endangered	NA	6a (Vigorous).	language	Indic	77.2647	21.5096
Tangshewi	Tangshewi	tnf	NA	tang1374	Bookkeeping	NA	NA	NA	overview	NA	language	Indic	71.2542	38.2267
Northwestern Fars	Northwestern_Fars	faz	NA	nort2640	Bookkeeping	Indo-European, Indo-Iranian, Iranian, Western, Northwestern, Central Iran	NA	shifting	grammar_sketch	7 (Shifting).	language	Greater Mesopotamia	52.925	29.643
Parsi-Dari	ParsiDari	prd	NA	pars1252	Bookkeeping	Indo-European, Indo-Iranian, Iranian, Western, Northwestern, Central Iran	350000	not endangered	NA	6a (Vigorous).	language	Greater Mesopotamia	58.624	32.994
Parsi	Parsi	prp	NA	pars1251	Bookkeeping	Indo-European, Indo-Iranian, Iranian, Western, Northwestern, Central Iran	251000	threatened	ethnographic	6a (Vigorous).	language	Indic	74.438	20.625
Khalaj	Khalaj	kjf	NA	khal1270	Bookkeeping	Indo-European, Indo-Iranian, Iranian, Western, Northwestern	50000	not endangered	NA	6a (Vigorous).	language	Greater Mesopotamia	49.576	36.5317
Darwazi	Darwazi	drw	NA	darw1234	Bookkeeping	NA	NA	NA	grammar_sketch	NA	language	Indic	70.7643	38.3161
Zarphatic	Zarphatic	zrp	NA	zarp1238	Bookkeeping	Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Gallo-Romance, Gallo-Rhaetian, Oïl, French	0	extinct	NA	10 (Extinct).	language	Europe	4.38771	45.5627
Shuadit	Shuadit	sdt	NA	shua1252	Bookkeeping	Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, Oc	0	extinct	minimal	10 (Extinct).	language	Europe	5.06601	44.1692
Katukína	Katukina	kav	NA	nucl1668	Bookkeeping	Katukinan	0	threatened	NA	9 (Dormant).	language	NE South America	-70.3822	-8.19121
Narau	Narau	nxu	NA	nara1265	Bookkeeping	Kaure, Kaure Proper	NA	moribund	wordlist	Unattested.	language	N Coast New Guinea	139.876	-3.43594
