Name	Name_stripped_no_spaces	iso639_3	iso639_3_macro	glottocode	Family_name_glottolog	Classification_ethnologue	Population_numeric_ethnologue	endangerment_status_glottolog	desc_status_glottolog	Language_status_ethnologue	level	AUTOTYP_area	Longitude	Latitude
Nugunu (Australia)	Nugunu_Australia	nnv	NA	nugu1241	Pama-Nyungan	Australian, Pama-Nyungan, South-West, Yura	0	extinct	dictionary	10 (Extinct).	language	S Australia	133.908	-31.9899
Ganggalida	Ganggalida	gcd	NA	gang1267	Tangkic	Australian, Tangic	1	nearly extinct	grammar	8b (Nearly extinct).	language	N Australia	139.426	-17.5446
Kayardild	Kayardild	gyd	NA	kaya1319	Tangkic	Australian, Tangic	23	nearly extinct	long_grammar	8b (Nearly extinct).	language	N Australia	139.489	-17.0695
Yangkaal	Yangkaal	nny	NA	nyan1300	Tangkic	Australian, Tangic	0	nearly extinct	text	10 (Extinct).	language	N Australia	138.023	-16.74
Wagaya	Wagaya	wga	NA	waga1260	Pama-Nyungan	Australian, Pama-Nyungan, Wagaya-Warluwaric, Warluwara-Thawa	0	moribund	grammar	10 (Extinct).	language	S Australia	137.623	-20.329
Warluwara	Warluwara	wrb	NA	warl1256	Pama-Nyungan	Australian, Pama-Nyungan, Wagaya-Warluwaric, Warluwara-Thawa	0	nearly extinct	long_grammar	10 (Extinct).	language	S Australia	138.738	-22.2909
Yindjilandji	Yindjilandji	yil	NA	yind1248	Pama-Nyungan	Australian, Pama-Nyungan, Wagaya-Warluwaric, Warluwara-Thawa	0	nearly extinct	wordlist	10 (Extinct).	language	S Australia	137.5894	-19.24252
Bayali	Bayali	bjy	NA	baya1257	Pama-Nyungan	Australian, Pama-Nyungan, Waka-Kabic, Kingkel	0	extinct	grammar_sketch	10 (Extinct).	language	S Australia	151.699	-24.9793
Wakawaka	Wakawaka	wkw	NA	waka1274	Pama-Nyungan	Australian, Pama-Nyungan, Waka-Kabic, Miyan	2	nearly extinct	long_grammar	9 (Dormant).	language	S Australia	151.868	-26.248
Wuliwuli	Wuliwuli	wlu	NA	wuli1242	Pama-Nyungan	Australian, Pama-Nyungan, Waka-Kabic, Miyan	0	extinct	phonology	10 (Extinct).	language	S Australia	149.843	-24.415
Gureng Gureng	Gureng_Gureng	gnr	NA	gure1255	Pama-Nyungan	Australian, Pama-Nyungan, Waka-Kabic, Than	0	nearly extinct	grammar_sketch	9 (Dormant).	language	S Australia	151.175	-25.3893
Warumungu	Warumungu	wrm	NA	waru1265	Pama-Nyungan	Australian, Pama-Nyungan, Warumungic	310	moribund	grammar	6a (Vigorous).	language	S Australia	134.375	-20.6479
Yuwaalaraay-Gamilaraay	YuwaalaraayGamilaraay	kld	NA	gami1243	Pama-Nyungan	Australian, Pama-Nyungan, Wiradhuric	35	nearly extinct	long_grammar	8b (Nearly extinct).	language	S Australia	149.543	-29.9037
Wiradhuri	Wiradhuri	wrh	NA	wira1262	Pama-Nyungan	Australian, Pama-Nyungan, Wiradhuric	100	nearly extinct	grammar_sketch	8b (Nearly extinct).	language	S Australia	145.994	-34.0742
Ngiyambaa	Ngiyambaa	wyb	NA	wang1291	Pama-Nyungan	Australian, Pama-Nyungan, Wiradhuric	4	nearly extinct	long_grammar	8b (Nearly extinct).	language	S Australia	146.18	-30.6481
Awabakal	Awabakal	awk	NA	awab1243	Pama-Nyungan	Australian, Pama-Nyungan, Worimi	0	extinct	grammar_sketch	9 (Dormant).	language	S Australia	151.43555	-33.12847
Worimi	Worimi	kda	NA	wori1245	Pama-Nyungan	Australian, Pama-Nyungan, Worimi	0	extinct	grammar_sketch	10 (Extinct).	language	S Australia	152.107	-32.4806
Djangun	Djangun	djf	NA	djan1238	Pama-Nyungan	Australian, Pama-Nyungan, Yalandyic	0	extinct	wordlist	10 (Extinct).	language	N Australia	144.93245	-16.91051
Kuku-Yalanji	KukuYalanji	gvn	NA	kuku1273	Pama-Nyungan	Australian, Pama-Nyungan, Yalandyic	360	shifting	long_grammar	6b (Threatened).	language	N Australia	145.188	-16.0036
Muluridyi	Muluridyi	vmu	NA	mulu1243	Pama-Nyungan	Australian, Pama-Nyungan, Yalandyic	0	nearly extinct	comparative	10 (Extinct).	language	N Australia	145.329	-17.0601
Yanyuwa	Yanyuwa	jao	NA	yany1243	Pama-Nyungan	Australian, Pama-Nyungan, Yanyuwan	120	moribund	grammar	6b (Threatened).	language	N Australia	136.055	-15.7621
Dyaabugay	Dyaabugay	dyy	NA	dyaa1242	Pama-Nyungan	Australian, Pama-Nyungan, Yidinic	29	nearly extinct	grammar	8a (Moribund).	language	N Australia	145.388	-16.596
Yidiñ	Yidin	yii	NA	yidi1250	Pama-Nyungan	Australian, Pama-Nyungan, Yidinic	150	moribund	long_grammar	6b (Threatened).	language	N Australia	145.876	-17.1332
Yugambal	Yugambal	yub	NA	yuga1244	Pama-Nyungan	Australian, Pama-Nyungan, Yugambal	0	nearly extinct	specific_feature	10 (Extinct).	language	S Australia	153.082	-27.803
Dhurga	Dhurga	dhu	NA	dhur1239	Pama-Nyungan	Australian, Pama-Nyungan, Yuin	0	extinct	grammar_sketch	10 (Extinct).	language	S Australia	150.134	-35.412
Thurawal	Thurawal	tbh	NA	thur1254	Pama-Nyungan	Australian, Pama-Nyungan, Yuin	0	nearly extinct	grammar_sketch	10 (Extinct).	language	S Australia	147.475	-35.2853
Dhangu	Dhangu	dhg	NA	dhan1270	Pama-Nyungan	Australian, Pama-Nyungan, Yuulngu, Dhangu	270	moribund	grammar	5 (Developing).	language	N Australia	135.752	-11.9493
Yan-nhangu	Yannhangu	jay	NA	yann1237	Pama-Nyungan	Australian, Pama-Nyungan, Yuulngu, Dhangu	7	shifting	grammar_sketch	8b (Nearly extinct).	language	N Australia	134.877	-12.0853
Dayi	Dayi	dax	NA	dayi1244	Pama-Nyungan	Australian, Pama-Nyungan, Yuulngu, Dhuwal	170	nearly extinct	specific_feature	7 (Shifting).	language	N Australia	136.22	-13.1806
Djambarrpuyngu	Djambarrpuyngu	djr	NA	djam1256	Pama-Nyungan	Australian, Pama-Nyungan, Yuulngu, Dhuwal	2760	shifting	long_grammar	3 (Wider communication). Lingua franca.	language	N Australia	135.59	-12.021
Dhuwal	Dhuwal	duj	NA	dhuw1249	Pama-Nyungan	NA	NA	shifting	grammar	NA	language	N Australia	136.008	-12.7825
Gumatj	Gumatj	gnn	NA	guma1253	Pama-Nyungan	Australian, Pama-Nyungan, Yuulngu, Dhuwal	240	shifting	grammar_sketch	5 (Developing).	language	N Australia	136.83042	-12.25254
Gupapuyngu	Gupapuyngu	guf	NA	gupa1247	Pama-Nyungan	Australian, Pama-Nyungan, Yuulngu, Dhuwal	1280	shifting	long_grammar	5 (Developing).	language	N Australia	135.337	-12.2868
Ritarungo	Ritarungo	rit	NA	rita1239	Pama-Nyungan	Australian, Pama-Nyungan, Yuulngu, Dhuwal	32	shifting	grammar_sketch	7 (Shifting).	language	N Australia	135.259	-13.4559
Djinba	Djinba	djb	NA	djin1252	Pama-Nyungan	Australian, Pama-Nyungan, Yuulngu, Djinang	45	moribund	grammar	6b (Threatened).	language	N Australia	134.967	-12.93
Djinang	Djinang	dji	NA	djin1253	Pama-Nyungan	Australian, Pama-Nyungan, Yuulngu, Djinang	210	shifting	grammar	6a (Vigorous).	language	N Australia	134.82	-12.462
Tiwi	Tiwi	tiw	NA	tiwi1244	Tiwi	Australian, Tiwian	1740	shifting	long_grammar	5 (Developing).	language	N Australia	130.949	-11.6308
Ngurmbur	Ngurmbur	nrx	NA	ngur1260	Unattested	Australian, Umbugarla-Ngumbur	0	nearly extinct	NA	10 (Extinct).	language	N Australia	132.508	-12.6483
Umbugarla	Umbugarla	umr	NA	umbu1235	Umbugarla	Australian, Umbugarla-Ngumbur	0	extinct	grammar_sketch	10 (Extinct).	language	N Australia	131.825	-12.9325
Jingulu	Jingulu	jig	NA	djin1251	Mirndi	Australian, West Barkly	52	moribund	long_grammar	8a (Moribund).	language	N Australia	133.659	-17.165
Ngarnka	Ngarnka	nji	NA	ngar1283	Mirndi	Australian, West Barkly	0	nearly extinct	grammar_sketch	10 (Extinct).	language	N Australia	134.73	-17.42
Wambayan	Wambayan	wmb	NA	wamb1258	Mirndi	Australian, West Barkly	89	nearly extinct	long_grammar	6b (Threatened).	language	N Australia	135.683	-17.496
Gambera	Gambera	gma	NA	gamb1251	Worrorran	Australian, Worrorran	0	nearly extinct	specific_feature	10 (Extinct).	language	N Australia	126.27131	-14.29546
Kwini	Kwini	gww	NA	kwin1241	Worrorran	Australian, Worrorran	1	moribund	grammar_sketch	8b (Nearly extinct).	language	N Australia	126.562	-14.2515
Ngarinyin	Ngarinyin	ung	NA	ngar1284	Worrorran	Australian, Worrorran	57	nearly extinct	grammar	7 (Shifting).	language	N Australia	126.433	-16.4006
Western Worrorran	Western_Worrorran	unp	NA	west2435	Worrorran	NA	NA	NA	NA	NA	family	N Australia	124.66753	-16.10935
Miwa	Miwa	vmi	NA	miwa1242	Worrorran	Australian, Worrorran	0	extinct	specific_feature	10 (Extinct).	language	N Australia	126.921	-14.3484
Wilawila	Wilawila	wil	NA	wila1240	Worrorran	Australian, Worrorran	0	nearly extinct	specific_feature	10 (Extinct).	language	N Australia	126.6	-14.9105
Wunambal	Wunambal	wub	NA	wuna1249	Worrorran	Australian, Worrorran	30	moribund	grammar	8b (Nearly extinct).	language	N Australia	125.72	-14.8347
Amurdak	Amurdak	amg	NA	amar1271	Iwaidjan Proper	Australian, Yiwaidjan, Amaragic	1	nearly extinct	grammar_sketch	8b (Nearly extinct).	language	N Australia	132.878	-11.9876
Margu	Margu	mhg	NA	marg1251	Marrku-Wurrugu	Australian, Yiwaidjan, Margic	0	nearly extinct	specific_feature	10 (Extinct).	language	N Australia	132.587	-11.1823
Iwaidja	Iwaidja	ibd	NA	iwai1244	Iwaidjan Proper	Australian, Yiwaidjan, Yiwaidjic	140	shifting	grammar_sketch	6b (Threatened).	language	N Australia	132.453	-11.3379
Garig-Ilgar	GarigIlgar	ilg	NA	gari1253	Iwaidjan Proper	Australian, Yiwaidjan, Yiwaidjic	0	nearly extinct	grammar_sketch	10 (Extinct).	language	N Australia	132.182	-11.412
Mawng	Mawng	mph	NA	maun1240	Iwaidjan Proper	Australian, Yiwaidjan, Yiwaidjic	260	threatened	long_grammar	6a (Vigorous).	language	N Australia	133.185	-11.8393
Wurrugu	Wurrugu	wur	NA	wurr1238	Marrku-Wurrugu	Australian, Yiwaidjan, Yiwaidjic	0	nearly extinct	wordlist	10 (Extinct).	language	N Australia	132.303	-11.364
Manangkari	Manangkari	znk	NA	mana1248	Unattested	Australian, Yiwaidjan, Yiwaidjic	0	extinct	overview	10 (Extinct).	language	N Australia	132.352	-11.361
Jah Hut	Jah_Hut	jah	NA	jahh1242	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, Jah Hut	3760	shifting	grammar_sketch	6a (Vigorous).	language	Southeast Asia	102.291	3.67619
Chewong	Chewong	cwg	NA	chew1245	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, North Aslian, Chewong	460	moribund	specific_feature	6b (Threatened).	language	Southeast Asia	102.081	3.83331
Batek	Batek	btq	NA	bate1262	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, North Aslian, Eastern	1000	shifting	wordlist	6b (Threatened).	language	Southeast Asia	102.382	4.8223
Jehai	Jehai	jhi	NA	jeha1242	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, North Aslian, Eastern	1250	shifting	grammar	6b (Threatened).	language	Southeast Asia	101.541	5.63695
Minriq	Minriq	mnq	NA	minr1238	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, North Aslian, Eastern	270	shifting	wordlist	6b (Threatened).	language	Southeast Asia	102.047	5.01108
Mintil	Mintil	mzt	NA	mint1239	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, North Aslian, Eastern	180	moribund	wordlist	8a (Moribund).	language	Southeast Asia	101.986	4.59376
Maniq	Maniq	tnz	NA	tong1308	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, North Aslian, Tonga	365	shifting	grammar_sketch	6a (Vigorous).	language	Southeast Asia	100.102	6.88137
Kintaq	Kintaq	knq	NA	kint1239	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, North Aslian, Western	111	shifting	grammar_sketch	6b (Threatened).	language	Southeast Asia	101.277	5.75004
Kensiu	Kensiu	kns	NA	kens1248	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, North Aslian, Western	259	shifting	grammar_sketch	5 (Developing).	language	Southeast Asia	101.026	5.98085
Lanoh	Lanoh	lnh	NA	lano1248	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, Senoic	240	shifting	wordlist	6b (Threatened).	language	Southeast Asia	100.986	4.90934
Sabüm	Sabum	sbo	NA	sabu1253	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, Senoic	0	extinct	wordlist	9 (Dormant).	language	Southeast Asia	101.065	5.34694
Semai	Semai	sea	NA	sema1266	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, Senoic	10000	threatened	grammar_sketch	3 (Wider communication). The lingua franca of the Malaysian Aslian military armed forces unit (Bradley 2007a).	language	Southeast Asia	101.477	4.13257
Semnam	Semnam	ssm	NA	semn1250	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, Senoic	670	threatened	phonology	6b (Threatened).	language	Southeast Asia	101.058	5.27617
Temiar	Temiar	tea	NA	temi1246	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, Senoic	15000	threatened	grammar_sketch	3 (Wider communication). Used as a lingua franca by many northern Aslian groups (Bradley 2007a).	language	Southeast Asia	101.438	4.974
Besisi	Besisi	mhe	NA	besi1244	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, South Aslian	2990	shifting	dictionary	6b (Threatened).	language	Southeast Asia	101.676	2.717
Semelai	Semelai	sza	NA	seme1247	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, South Aslian	4100	threatened	long_grammar	6b (Threatened).	language	Southeast Asia	102.806	2.82799
Semaq Beri	Semaq_Beri	szc	NA	sema1265	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, South Aslian	2000	shifting	grammar_sketch	6a (Vigorous).	language	Southeast Asia	102.816	4.1217
Temoq	Temoq	tmo	NA	temo1243	Austroasiatic	Austro-Asiatic, Mon-Khmer, Aslian, South Aslian	NA	shifting	wordlist	8b (Nearly extinct).	language	Southeast Asia	102.916	3.11331
Alak	Alak	alk	NA	alak1253	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, Central Bahnaric	4000	not endangered	specific_feature	6a (Vigorous).	language	Southeast Asia	106.597	15.5565
Bahnar	Bahnar	bdq	NA	bahn1262	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, Central Bahnaric	158000	not endangered	grammar_sketch	5 (Developing). Language of recognized ethnic group: Ba Na.	language	Southeast Asia	108.471	14.0476
Lamam	Lamam	lmm	NA	lama1290	Bookkeeping	NA	NA	NA	overview	NA	language	Southeast Asia	107.336	14.3658
Romam	Romam	rmx	NA	roma1331	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, Central Bahnaric	200	shifting	overview	6a (Vigorous). Language of recognized ethnic group: Ro Mam.	language	Southeast Asia	107.447	14.34
Tampuan	Tampuan	tpu	NA	tamp1251	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, Central Bahnaric	31000	moribund	phonology	6a (Vigorous).	language	Southeast Asia	107.24544	13.56447
Kaco'	Kaco?	xkk	NA	kaco1239	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric	3370	threatened	socling	6b (Threatened).	language	Southeast Asia	107.257	13.8274
Cua	Cua	cua	NA	cuaa1241	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, East Bahnaric	12000	threatened	grammar_sketch	6b (Threatened). Language of recognized ethnic group: Co.	language	Southeast Asia	108.431	15.1688
Kayong	Kayong	kxy	NA	kayo1245	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, East	25000	not endangered	comparative	6a (Vigorous). Language of recognized ethnic group: Xo Dang.	language	Southeast Asia	108.447	14.9227
Takua	Takua	tkz	NA	taku1254	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, East	6000	not endangered	comparative	6a (Vigorous). Language of recognized ethnic group: Co.	language	Southeast Asia	108.046	15.4299
Halang Doan	Halang_Doan	hld	NA	hala1253	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, West, Duan	4350	threatened	overview	6b (Threatened). Language of recognized ethnic group: Xo Dang.	language	Southeast Asia	107.86	14.9704
Halang	Halang	hal	NA	hala1252	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, West, Jeh-Halang	17500	threatened	grammar_sketch	6b (Threatened). Language of recognized ethnic group: Xo Dang.	language	Southeast Asia	107.457	14.7862
Jeh	Jeh	jeh	NA	jehh1245	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, West, Jeh-Halang	25800	not endangered	grammar_sketch	5 (Developing).	language	Southeast Asia	107.753	15.2351
Rengao	Rengao	ren	NA	reng1252	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, West, Rengao	18000	threatened	grammar	6b (Threatened). Language of recognized ethnic group: Ba Na.	language	Southeast Asia	107.859	14.6066
Hre	Hre	hre	NA	hree1244	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, West, Sedang-Todrah, Sedang	94000	not endangered	grammar_sketch	5 (Developing). Language of recognized ethnic group: Hre.	language	Southeast Asia	108.694	14.6308
Sedang	Sedang	sed	NA	seda1262	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, West, Sedang-Todrah, Sedang	97520	not endangered	long_grammar	6a (Vigorous). Language of recognized ethnic group: So Dang.	language	Southeast Asia	108.027	14.7793
Monom	Monom	moo	NA	mono1268	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, West, Sedang-Todrah, Todrah-Monom	6000	not endangered	overview	6a (Vigorous). Language of recognized ethnic group: Xo Dang.	language	Southeast Asia	108.348	14.5948
Todrah	Todrah	tdr	NA	todr1244	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, West, Sedang-Todrah, Todrah-Monom	6000	not endangered	phonology	6a (Vigorous). Language of recognized ethnic group: Xo Dang.	language	Southeast Asia	108.114	14.5672
Trieng	Trieng	stg	NA	trie1243	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, West	15000	not endangered	comparative	6a (Vigorous). Language of recognized ethnic group: Gie Trieng.	language	Southeast Asia	107.515	15.5002
Talieng	Talieng	tdf	NA	tali1257	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, West	29100	not endangered	specific_feature	6a (Vigorous).	language	Southeast Asia	106.102	16.5287
Katua	Katua	kta	NA	katu1273	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric	4000	not endangered	wordlist	6a (Vigorous). Language of recognized ethnic group: Xo Dang.	language	Southeast Asia	108.293	14.8971
Eastern Mnong	Eastern_Mnong	mng	NA	east2333	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, South Bahnaric, Sre-Mnong, Mnong, Eastern Mnong	30000	not endangered	grammar_sketch	6a (Vigorous). Language of recognized ethnic group: Mnong.	language	Southeast Asia	108.354	12.3939
Central Mnong	Central_Mnong	cmo	NA	cent1992	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, South Bahnaric, Sre-Mnong, Mnong, Southern-Central Mnong	70000	threatened	grammar_sketch	5 (Developing). Language of recognized ethnic group: Mnong.	language	Southeast Asia	107.301	12.6313
Southern Mnong	Southern_Mnong	mnn	NA	sout2692	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, South Bahnaric, Sre-Mnong, Mnong, Southern-Central Mnong	30000	not endangered	comparative	6a (Vigorous). Language of recognized ethnic group: Mnong.	language	Southeast Asia	107.65424	12.06354
Kraol	Kraol	rka	NA	krao1238	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, South Bahnaric, Sre-Mnong, Mnong, Southern-Central Mnong	4200	threatened	wordlist	6a (Vigorous).	language	Southeast Asia	106.539	12.8107
Maa	Maa	cma	NA	maaa1253	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, South Bahnaric, Sre-Mnong, Sre	33300	not endangered	dictionary	6a (Vigorous). Language of recognized ethnic group: Ma.	language	Southeast Asia	107.339	11.5205
Koho	Koho	kpm	NA	koho1244	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, South Bahnaric, Sre-Mnong, Sre	166000	not endangered	grammar	5 (Developing). Language of recognized ethnic group: Co Ho.	language	Southeast Asia	108.057	11.6444
Chrau	Chrau	crw	NA	chra1242	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, South Bahnaric, Stieng-Chrau	7000	threatened	grammar	6b (Threatened). Language of recognized ethnic group: Cho Ro.	language	Southeast Asia	107.293	10.8021
Bulo Stieng	Bulo_Stieng	sti	NA	bulo1242	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, South Bahnaric, Stieng-Chrau	51540	shifting	long_grammar	6a (Vigorous). Language of recognized ethnic group: Xtieng.	language	Southeast Asia	106.798	11.9777
Budeh Stieng	Budeh_Stieng	stt	NA	bude1236	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, South Bahnaric	40000	moribund	dictionary	6a (Vigorous). Language of recognized ethnic group: Xtieng.	language	Southeast Asia	106.691	11.6917
Brao	Brao	brb	NA	lave1249	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, West Bahnaric, Brao-Kravet	32230	threatened	grammar_sketch	5 (Developing).	language	Southeast Asia	107.008	14.5994
Krung	Krung	krr	NA	krun1240	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, West Bahnaric, Brao-Kravet	20700	threatened	phonology	6b (Threatened).	language	Southeast Asia	106.761	13.5699
Kavet	Kavet	krv	NA	kave1238	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, West Bahnaric, Brao-Kravet	6220	shifting	overview	6b (Threatened).	language	Southeast Asia	106.586	14.1796
Sou	Sou	sqq	NA	souu1238	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, West Bahnaric, Brao-Kravet	2360	shifting	comparative	6a (Vigorous).	language	Southeast Asia	106.54	14.687
Laven	Laven	lbo	NA	lave1248	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, West Bahnaric, Laven	28100	shifting	long_grammar	6a (Vigorous).	language	Southeast Asia	106.322	15.2726
Nyaheun	Nyaheun	nev	NA	nyah1249	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, West Bahnaric, Nyaheun	3960	not endangered	grammar_sketch	6a (Vigorous).	language	Southeast Asia	106.543	15.1034
Jeng	Jeng	jeg	NA	jeng1241	Austroasiatic	NA	NA	NA	comparative	NA	dialect	Southeast Asia	106.658	15.42
Oy	Oy	oyb	NA	oyyy1238	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, West Bahnaric, Oi-The	23500	not endangered	comparative	6a (Vigorous).	language	Southeast Asia	106.658	15.42
Sok	Sok	skk	NA	sokk1239	Austroasiatic	NA	NA	NA	comparative	NA	dialect	Southeast Asia	106.658	15.42
Sapuan	Sapuan	spu	NA	sapu1248	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, West Bahnaric, Oi-The	2400	not endangered	grammar_sketch	6a (Vigorous).	language	Southeast Asia	106.843	15.3692
The	The	thx	NA	thee1240	Bookkeeping	NA	NA	NA	overview	NA	language	Southeast Asia	106.667	14.6733
Ir	Ir	irr	NA	irrr1240	Bookkeeping	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, Central Katuic, Ta’oih	4420	not endangered	NA	6a (Vigorous).	language	Southeast Asia	106.564	15.7188
Katang	Katang	kgd	NA	kata1264	Austroasiatic	NA	NA	NA	NA	NA	family	Southeast Asia	106.459	16.1823
Ong-Ir	OngIr	oog	NA	ongg1239	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, Central Katuic, Ta’oih	10300	shifting	phonology	7 (Shifting).	language	Southeast Asia	106.001	15.1225
Upper Ta'oih	Upper_Ta?oih	tth	NA	uppe1406	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, Central Katuic, Ta’oih	49900	not endangered	grammar_sketch	6a (Vigorous).	language	Southeast Asia	107.056135	16.186515
Lower Ta'oih	Lower_Ta?oih	tto	NA	lowe1395	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, Central Katuic, Ta’oih	15800	not endangered	wordlist	6a (Vigorous).	language	Southeast Asia	106.873	15.9083
Eastern Katu	Eastern_Katu	ktv	NA	east1236	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, East Katuic, Katu-Pacoh	50500	not endangered	long_grammar	6a (Vigorous). Language of recognized ethnic group: Co Tu.	language	Southeast Asia	107.644	15.8553
Western Katu	Western_Katu	kuf	NA	west2398	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, East Katuic, Katu-Pacoh	22800	shifting	specific_feature	6a (Vigorous).	language	Southeast Asia	107.166	15.7949
Pacoh	Pacoh	pac	NA	paco1243	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, East Katuic, Katu-Pacoh	32500	threatened	long_grammar	6b (Threatened).	language	Southeast Asia	107.094	16.3353
Phuong	Phuong	phg	NA	phuo1238	Austroasiatic	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, East Katuic, Katu-Pacoh	15100	not endangered	dictionary	6a (Vigorous). Language of recognized ethnic group: Ktu.	language	Southeast Asia	107.467	16.2118
Tareng	Tareng	tgr	NA	tare1239	Bookkeeping	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, East Katuic, Katu-Pacoh	5000	not endangered	overview	6a (Vigorous).	language	Southeast Asia	107.296	15.4928
Khlor	Khlor	llo	NA	khlo1239	Bookkeeping	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, East Katuic, Ngeq-Nkriang	6000	threatened	overview	6b (Threatened).	language	Southeast Asia	106.606	15.6415
