ID,ID_ISO_A3,ID_ISO_A2,ID_FIPS,NAM_LABEL,NAME_PROP,NAME2,NAM_ANSI,LANG_ISO,iso639_3_macro,glottocode,Family_name_glottolog,Population_numeric_ethnologue,AES,Language_status_ethnologue,iso_macro,EGIDS,LMP_POP1,LEI,UNESCO,count
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Endangered,Critically endangered,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Threatened,Vulnerable,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Threatened,Definitely endangered,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Threatened,Critically endangered,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Vulnerable,Vulnerable,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Vulnerable,Definitely endangered,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Vulnerable,Critically endangered,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Severely Endangered,Vulnerable,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Severely Endangered,Definitely endangered,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Severely Endangered,Critically endangered,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,At risk,Vulnerable,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,At risk,Definitely endangered,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,At risk,Critically endangered,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Endangered,Vulnerable,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Endangered,Definitely endangered,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Endangered,Critically endangered,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Threatened,Vulnerable,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Threatened,Definitely endangered,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Threatened,Critically endangered,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Vulnerable,Vulnerable,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Vulnerable,Definitely endangered,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Vulnerable,Critically endangered,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Severely Endangered,Vulnerable,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Severely Endangered,Definitely endangered,30
ADI-CHN,adi-CHN,adi-cn,adi-CH,Boga'er Luoba,"Luoba, Boga’er","LUOBA, BOGA’ER","Luoba, Boga’er",adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Severely Endangered,Critically endangered,30
SPA-ARG,spa-ARG,spa-ar,spa-AR,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-MEX,spa-MEX,spa-mx,spa-MX,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-COL,spa-COL,spa-co,spa-CO,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-ESP,spa-ESP,spa-es,spa-SP,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-CHL,spa-CHL,spa-cl,spa-CI,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-PER,spa-PER,spa-pe,spa-PE,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-BOL,spa-BOL,spa-bo,spa-BL,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-VEN,spa-VEN,spa-ve,spa-VE,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-USA,spa-USA,spa-us,spa-US,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-URY,spa-URY,spa-uy,spa-UY,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-ECU,spa-ECU,spa-ec,spa-EC,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-CUB,spa-CUB,spa-cu,spa-CU,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-NIC,spa-NIC,spa-ni,spa-NU,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-HND,spa-HND,spa-hn,spa-HO,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-GTM,spa-GTM,spa-gt,spa-GT,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-DOM,spa-DOM,spa-do,spa-DR,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-PAN,spa-PAN,spa-pa,spa-PM,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-CRI,spa-CRI,spa-cr,spa-CS,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-SLV,spa-SLV,spa-sv,spa-ES,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-PRI,spa-PRI,spa-pr,spa-RQ,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-BLZ,spa-BLZ,spa-bz,spa-BH,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-AND,spa-AND,spa-ad,spa-AN,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
SPA-GIB,spa-GIB,spa-gi,spa-GI,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
