ID,ID_ISO_A3,ID_ISO_A2,ID_FIPS,NAM_LABEL,NAME_PROP,NAME2,NAM_ANSI,LANG_ISO
FFM-MLI,ffm-MLI,ffm-ml,ffm-ML,Maasina Fulfulde,"Fulfulde, Maasina","FULFULDE, MAASINA","Fulfulde, Maasina",ffm
ARS-IRQ,ars-IRQ,ars-iq,ars-IZ,Najdi Spoken Arabic,"Arabic, Najdi Spoken","ARABIC, NAJDI SPOKEN","Arabic, Najdi Spoken",ars
SOM-ETH,som-ETH,som-et,som-ET,Somali,Somali,SOMALI,Somali,som
RUS-UKR,rus-UKR,rus-ua,rus-UP,Russian,Russian,RUSSIAN,Russian,rus
MEY-ESH,mey-ESH,mey-eh,mey-WI,Hassaniyya Arabic,"Arabic, Hassaniyya","ARABIC, HASSANIYYA","Arabic, Hassaniyya",mey
ESK-USA,esk-USA,esk-us,esk-US,Northwest Alaska Inupiatun,"Inupiatun, Northwest Alaska","INUPIATUN, NORTHWEST ALASKA","Inupiatun, Northwest Alaska",esk
YRK-RUS,yrk-RUS,yrk-ru,yrk-RS,Nenets,Nenets,NENETS,Nenets,yrk
BEJ-SDN,bej-SDN,bej-sd,bej-SU,Bedawiyet,Bedawiyet,BEDAWIYET,Bedawiyet,bej
GEH-CAN,geh-CAN,geh-ca,geh-CA,Hutterisch,Hutterisch,HUTTERISCH,Hutterisch,geh
KOR-CHN,kor-CHN,kor-cn,kor-CH,Korean,Korean,KOREAN,Korean,kor
KCA-RUS,kca-RUS,kca-ru,kca-RS,Khanty,Khanty,KHANTY,Khanty,kca
TUQ-TCD,tuq-TCD,tuq-td,tuq-CD,Tedaga,Tedaga,TEDAGA,Tedaga,tuq
ESU-USA,esu-USA,esu-us,esu-US,Central Yupik,"Yupik, Central","YUPIK, CENTRAL","Yupik, Central",esu
OCI-FRA,oci-FRA,oci-fr,oci-EU,Occitan,Occitan,OCCITAN,Occitan,oci
MYA-MMR,mya-MMR,mya-mm,mya-BM,Burmese,Burmese,BURMESE,Burmese,mya
XKV-BWA,xkv-BWA,xkv-bw,xkv-BC,Kgalagadi,Kgalagadi,KGALAGADI,Kgalagadi,xkv
AFR-BWA,afr-BWA,afr-bw,afr-BC,Afrikaans,Afrikaans,AFRIKAANS,Afrikaans,afr
WBP-AUS,wbp-AUS,wbp-au,wbp-AS,Warlpiri,Warlpiri,WARLPIRI,Warlpiri,wbp
SPA-USA,spa-USA,spa-us,spa-US,Spanish,Spanish,SPANISH,Spanish,spa
PBT-AFG,pbt-AFG,pbt-af,pbt-AF,Southern Pashto,"Pashto, Southern","PASHTO, SOUTHERN","Pashto, Southern",pbt
DLG-RUS,dlg-RUS,dlg-ru,dlg-RS,Dolgan,Dolgan,DOLGAN,Dolgan,dlg
LOL-COD,lol-COD,lol-cd,lol-CG,Mongo-Nkundu,Mongo-Nkundu,MONGO-NKUNDU,Mongo-Nkundu,lol
TDA-NER,tda-NER,tda-ne,tda-NG,Tagdal,Tagdal,TAGDAL,Tagdal,tda
KRL-RUS,krl-RUS,krl-ru,krl-RS,Karelian,Karelian,KARELIAN,Karelian,krl
KIR-KGZ,kir-KGZ,kir-kg,kir-KG,Kyrgyz,Kyrgyz,KYRGYZ,Kyrgyz,kir
THZ-NER,thz-NER,thz-ne,thz-NG,Tayart Tamajeq,"Tamajeq, Tayart","TAMAJEQ, TAYART","Tamajeq, Tayart",thz
AFB-OMN,afb-OMN,afb-om,afb-MU,Gulf Spoken Arabic,"Arabic, Gulf Spoken","ARABIC, GULF SPOKEN","Arabic, Gulf Spoken",afb
SPA-URY,spa-URY,spa-uy,spa-UY,Spanish,Spanish,SPANISH,Spanish,spa
ARY-MAR,ary-MAR,ary-ma,ary-MO,Moroccan Spoken Arabic,"Arabic, Moroccan Spoken","ARABIC, MOROCCAN SPOKEN","Arabic, Moroccan Spoken",ary
TUQ-NER,tuq-NER,tuq-ne,tuq-NG,Tedaga,Tedaga,TEDAGA,Tedaga,tuq
HAU-NGA,hau-NGA,hau-ng,hau-NI,Hausa,Hausa,HAUSA,Hausa,hau
AYH-YEM,ayh-YEM,ayh-ye,ayh-YM,Hadrami Spoken Arabic,"Arabic, Hadrami Spoken","ARABIC, HADRAMI SPOKEN","Arabic, Hadrami Spoken",ayh
KMR-TUR,kmr-TUR,kmr-tr,kmr-TU,Northern Kurdish,"Kurdish, Northern","KURDISH, NORTHERN","Kurdish, Northern",kmr
MFU-AGO,mfu-AGO,mfu-ao,mfu-AO,Mbwela,Mbwela,MBWELA,Mbwela,mfu
GAN-CHN,gan-CHN,gan-cn,gan-CH,Gan Chinese,"Chinese, Gan","CHINESE, GAN","Chinese, Gan",gan
ISL-ISL,isl-ISL,isl-is,isl-IC,Icelandic,Icelandic,ICELANDIC,Icelandic,isl
SNA-ZWE,sna-ZWE,sna-zw,sna-ZI,Shona,Shona,SHONA,Shona,sna
BXR-RUS,bxr-RUS,bxr-ru,bxr-RS,Russia Buriat,"Buriat, Russia","BURIAT, RUSSIA","Buriat, Russia",bxr
AEB-TUN,aeb-TUN,aeb-tn,aeb-TS,Tunisian Spoken Arabic,"Arabic, Tunisian Spoken","ARABIC, TUNISIAN SPOKEN","Arabic, Tunisian Spoken",aeb
KAN-IND,kan-IND,kan-in,kan-IN,Kannada,Kannada,KANNADA,Kannada,kan
BAK-RUS,bak-RUS,bak-ru,bak-RS,Bashkort,Bashkort,BASHKORT,Bashkort,bak
GAX-ETH,gax-ETH,gax-et,gax-ET,Borana-Arsi-Guji Oromo,"Oromo, Borana-Arsi-Guji","OROMO, BORANA-ARSI-GUJI","Oromo, Borana-Arsi-Guji",gax
HAK-CHN,hak-CHN,hak-cn,hak-CH,Hakka Chinese,"Chinese, Hakka","CHINESE, HAKKA","Chinese, Hakka",hak
HAU-NER,hau-NER,hau-ne,hau-NG,Hausa,Hausa,HAUSA,Hausa,hau
PRS-AFG,prs-AFG,prs-af,prs-AF,Dari,Dari,DARI,Dari,prs
UZN-UZB,uzn-UZB,uzn-uz,uzn-UZ,Northern Uzbek,"Uzbek, Northern","UZBEK, NORTHERN","Uzbek, Northern",uzn
