,P[Y=1],P[Y=2],P[Y=3],y_hat,y_avg,y_obs,residual1,residual2
ahh,0.983673417,0.016116503,0.000210081,1,1.016536664,1,-0.016536664,0
ahi,0.984164059,0.015635339,0.000200602,1,1.016036543,1,-0.016036543,0
ahk,0.999966604,3.34E-05,3.76E-08,1,1.000033434,1,-3.34337E-05,0
ahl,0.997913029,0.002076541,1.04E-05,1,1.002097402,1,-0.002097402,0
ahm,0.966639314,0.032729301,0.000631384,1,1.03399207,1,-0.03399207,0
ahn,0.913928922,0.083146467,0.002924611,1,1.088995689,1,-0.088995689,0
aho,0.118601477,0.46407928,0.417319243,2,2.298717766,3,0.701282234,1
ahp,0.955642916,0.043366307,0.000990777,1,1.045347862,1,-0.045347862,0
ahs,0.992697278,0.007239371,6.34E-05,1,1.007366074,1,-0.007366074,0
aht,0.040606914,0.321466191,0.637926894,3,2.59731998,2,-0.59731998,-1
aia,0.976579384,0.023056199,0.000364417,1,1.023785033,1,-0.023785033,0
aib,0.803336991,0.184258526,0.012404483,1,1.209067492,1,-0.209067492,0
aic,0.82297172,0.166790373,0.010237906,1,1.187266186,2,0.812733814,1
aid,0.002644924,0.078401274,0.918953801,3,2.916308877,3,0.083691123,0
aie,0.980949708,0.018784717,0.000265575,1,1.019315868,1,-0.019315868,0
aif,0.977010093,0.022635752,0.000354156,1,1.023344063,1,-0.023344063,0
aig,0.998721693,0.001273074,5.23E-06,1,1.001283539,1,-0.001283539,0
aih,0.889437237,0.10609229,0.004470473,1,1.115033235,1,-0.115033235,0
aii,0.996300805,0.0036756,2.36E-05,1,1.00372279,1,-0.00372279,0
aik,0.952985575,0.045927097,0.001087327,1,1.048101752,1,-0.048101752,0
ail,0.898772743,0.097381878,0.003845378,1,1.105072635,1,-0.105072635,0
aim,0.985398403,0.014424123,0.000177474,1,1.014779071,1,-0.014779071,0
ain,0.148365629,0.487449329,0.364185042,2,2.215819414,2,-0.215819414,0
aio,0.448934975,0.447664493,0.103400532,1,1.654465556,1,-0.654465556,0
aip,0.752911761,0.228069213,0.019019026,1,1.266107266,2,0.733892734,1
aiq,0.997595948,0.002391305,1.27E-05,1,1.002416799,1,-0.002416799,0
air,0.92305887,0.074515253,0.002425878,1,1.079367008,1,-0.079367008,0
ait,0.000980075,0.043075976,0.95594395,3,2.954963875,3,0.045036125,0
aiw,0.99932049,0.000677336,2.17E-06,1,1.000681685,1,-0.000681685,0
aix,0.952470781,0.046422758,0.001106461,1,1.048635679,1,-0.048635679,0
aja,0.901990836,0.094369003,0.003640161,1,1.101649325,2,0.898350675,1
ajg,0.999972623,2.73E-05,2.90E-08,1,1.000027406,1,-2.74057E-05,0
aji,0.92833826,0.069505078,0.002156662,1,1.073818401,1,-0.073818401,0
ajt,0.30937794,0.504733331,0.185888729,2,1.876510788,1,-0.876510788,-1
aju,0.815370251,0.17357916,0.011050589,1,1.195680338,1,-0.195680338,0
ajw,0.008779808,0.153774878,0.837445314,3,2.828665505,3,0.171334495,0
ajz,0.996425202,0.003552334,2.25E-05,1,1.003597262,1,-0.003597262,0
aka,0.999999549,4.51E-07,1.46E-10,1,1.000000451,1,-4.50811E-07,0
akb,0.99746107,0.002525154,1.38E-05,1,1.002552705,1,-0.002552705,0
akc,0.963356349,0.035911838,0.000731813,1,1.037375464,1,-0.037375464,0
akd,0.984327123,0.01547539,0.000197487,1,1.015870364,1,-0.015870364,0
ake,0.969947013,0.029516728,0.000536259,1,1.030589247,1,-0.030589247,0
akf,0.991992371,0.007935085,7.25E-05,1,1.008080173,1,-0.008080173,0
akg,0.985086179,0.014730595,0.000183226,1,1.015097047,1,-0.015097047,0
akh,0.997165282,0.002818601,1.61E-05,1,1.002850836,1,-0.002850836,0
aki,0.973014134,0.026532262,0.000453604,1,1.02743947,1,-0.02743947,0
akj,0.009311122,0.158652265,0.832036613,3,2.822725491,3,0.177274509,0
akl,0.999569473,0.000429366,1.16E-06,1,1.000431688,1,-0.000431688,0
akm,0.009200047,0.157646043,0.83315391,3,2.823953863,3,0.176046137,0
