,P[Y=1],P[Y=2],P[Y=3],P[Y=4],P[Y=5],P[Y=6],P[Y=7],y_hat,y_avg,y_obs,residual1,residual2
abn,0.93944108,0.051231696,0.007141463,0.001723148,0.000448067,1.38E-05,7.66E-07,1,1.07254983,1,-0.07254983,0
abo,0.64156197,0.236409022,0.073829491,0.031400675,0.015417544,0.001233761,0.000147536,1,1.546994226,1,-0.546994226,0
abp,0.74981325,0.180237456,0.045748911,0.016777761,0.006946475,0.000433824,4.23E-05,1,1.352277518,1,-0.352277518,0
abq,0.643484988,0.235525861,0.073303516,0.031100657,0.015226823,0.001213529,0.000144625,1,1.543277555,1,-0.543277555,0
abr,0.989879774,0.009228558,0.000745382,0.00012416,2.18E-05,3.55E-07,1.21E-08,1,1.011180682,1,-0.011180682,0
abs,0.65555139,0.229886649,0.070023071,0.029252235,0.014066736,0.001092478,0.000127441,1,1.520183477,1,-0.520183477,0
abt,0.969497627,0.026774012,0.002975015,0.000614728,0.000135281,3.19E-06,1.45E-07,1,1.03512618,1,-0.03512618,0
abu,0.891709227,0.087512597,0.015165429,0.004253512,0.001303924,5.18E-05,3.52E-06,1,1.136099764,1,-0.136099764,0
abw,0.817492705,0.138700055,0.030107598,0.009885355,0.003611326,0.000187243,1.57E-05,1,1.24404714,1,-0.24404714,0
aby,0.740619514,0.18550525,0.047999,0.017844865,0.007504198,0.000479513,4.77E-05,1,1.367738159,1,-0.367738159,0
abz,0.830728021,0.130009778,0.027257435,0.008733521,0.003104248,0.000154452,1.25E-05,1,1.223989731,1,-0.223989731,0
aca,0.132158279,0.244609802,0.196101181,0.167985774,0.194145455,0.048850598,0.016148911,2,3.258497762,2,-1.258497762,0
acd,0.822304995,0.135561903,0.029062765,0.009459174,0.00342184,0.00017482,1.45E-05,1,1.23671343,1,-0.23671343,0
ace,0.919975999,0.066373143,0.010234,0.002647128,0.000742459,2.57E-05,1.57E-06,1,1.097890283,2,0.902109717,1
acf,0.969986541,0.026363708,0.002914712,0.000600208,0.000131604,3.09E-06,1.39E-07,1,1.034536444,1,-0.034536444,0
ach,0.994050739,0.005494974,0.000386215,5.86E-05,9.32E-06,1.29E-07,3.91E-09,1,1.006481213,1,-0.006481213,0
aci,0.001147199,0.011174443,0.027799232,0.058928833,0.238608345,0.244624466,0.417717482,7,5.927420011,7,1.072579989,0
ack,0.007345949,0.04340461,0.076401876,0.121842604,0.326533156,0.217526413,0.206945392,5,5.197173213,7,1.802826787,2
acl,0.002693498,0.021120858,0.04522254,0.084660807,0.285666879,0.242892229,0.317743189,7,5.629136155,7,1.370863845,0
acn,0.832848071,0.128600389,0.026807827,0.008554945,0.00302709,0.000149593,1.21E-05,1,1.22080971,3,1.77919029,2
acp,0.855818862,0.113019428,0.022064847,0.006725085,0.002260561,0.000103368,7.85E-06,1,1.186930554,1,-0.186930554,0
acr,0.815622111,0.139913251,0.030516323,0.010053293,0.003686581,0.000192231,1.62E-05,1,1.246910518,1,-0.246910518,0
acs,3.29E-05,0.000681706,0.002847088,0.009354574,0.073904137,0.144654439,0.76852515,7,6.664479251,7,0.335520749,0
acu,0.709139359,0.202854994,0.055906678,0.021740468,0.009625231,0.000663172,7.01E-05,1,1.422127123,1,-0.422127123,0
acv,0.009017659,0.050052677,0.084376293,0.129920191,0.331305696,0.209146989,0.186180496,5,5.096606539,5,-0.096606539,0
acz,0.00843741,0.047801103,0.081729681,0.127298,0.329928564,0.211978843,0.1928264,5,5.129721333,1,-4.129721333,-4
ada,0.983840258,0.014532942,0.001336337,0.000242893,4.67E-05,8.84E-07,3.38E-08,1,1.018125525,1,-0.018125525,0
add,0.76730407,0.169967261,0.041546729,0.014834707,0.005958013,0.000355755,3.35E-05,1,1.323376455,1,-0.323376455,0
ade,0.962075829,0.032949237,0.003923234,0.000849755,0.00019667,5.03E-06,2.42E-07,1,1.044158262,1,-0.044158262,0
adg,0.159165024,0.263285303,0.196237006,0.158978816,0.171042223,0.039351689,0.011939939,2,3.085262735,5,1.914737265,3
adh,0.969452868,0.026811552,0.002980549,0.000616063,0.00013562,3.20E-06,1.45E-07,1,1.035180202,1,-0.035180202,0
adi,0.978097643,0.019487831,0.001957759,0.000377779,7.73E-05,1.62E-06,6.71E-08,1,1.024854394,1,-0.024854394,0
adj,0.961605373,0.033337432,0.003985315,0.000865554,0.000200913,5.16E-06,2.50E-07,1,1.04473569,1,-0.04473569,0
adl,0.963429999,0.031829748,0.003745809,0.000804869,0.000184693,4.66E-06,2.22E-07,1,1.042499378,1,-0.042499378,0
ado,0.915129753,0.070066603,0.011044481,0.002900679,0.000827264,2.94E-05,1.83E-06,1,1.104324589,1,-0.104324589,0
adq,0.729051411,0.192004991,0.050869081,0.019232707,0.008244787,0.000541908,5.51E-05,1,1.387460649,2,0.612539351,1
adr,0.558623752,0.270255949,0.097229429,0.045805666,0.025349069,0.002404626,0.000331508,1,1.717540263,1,-0.717540263,0
adt,0.037491457,0.126470973,0.151424364,0.177297621,0.309592882,0.127802152,0.069920552,5,4.258118159,5,0.741881841,0
adw,0.123261938,0.237445921,0.19539532,0.170774314,0.202547031,0.052628109,0.017947366,2,3.321572369,2,-1.321572369,0
adx,0.801814687,0.148753463,0.033577017,0.011332369,0.004270325,0.00023193,2.02E-05,1,1.268266811,1,-0.268266811,0
ady,0.837743764,0.125327381,0.025777066,0.008148826,0.002853126,0.00013877,1.11E-05,1,1.213500752,1,-0.213500752,0
adz,0.981623824,0.016454686,0.001570026,0.000292581,5.77E-05,1.14E-06,4.51E-08,1,1.020709242,1,-0.020709242,0
aea,0.000573921,0.006583442,0.018335306,0.042711085,0.199036432,0.234921329,0.497838485,7,6.129170593,7,0.870829407,0
aee,0.852340958,0.115415184,0.022767429,0.006989769,0.002368608,0.000109646,8.41E-06,1,1.191992449,1,-0.191992449,0
aek,0.098112768,0.213914013,0.190985368,0.177756839,0.228778281,0.065720816,0.024731914,5,3.521263958,5,1.478736042,0
ael,0.748182518,0.181178406,0.046145983,0.016964729,0.007043446,0.000441685,4.32E-05,1,1.355006166,1,-0.355006166,0
aem,0.178368098,0.274136704,0.194901909,0.152315194,0.156529498,0.033986019,0.009762577,2,2.975509656,5,2.024490344,3
aeq,0.207878512,0.287518678,0.191163947,0.141982542,0.13681315,0.027363278,0.007279894,2,2.823542548,2,-0.823542548,0
aer,0.620564513,0.245770071,0.079626634,0.034774843,0.017608607,0.00147265,0.000182682,1,1.588241637,1,-0.588241637,0
aeu,0.562270053,0.268948997,0.096175502,0.045110592,0.024835586,0.002338811,0.00032046,1,1.709590934,3,1.290409066,2
aew,0.810268121,0.14336512,0.031694063,0.010541014,0.003906985,0.000207014,1.77E-05,1,1.255145395,3,1.744854605,2
aey,0.951487571,0.041598763,0.005372382,0.001230108,0.000302234,8.50E-06,4.41E-07,1,1.057287937,2,0.942712063,1
aez,0.844625645,0.120682945,0.024346101,0.007592705,0.00261839,0.000124467,9.75E-06,1,1.20330764,1,-0.20330764,0
afd,0.663792994,0.225938956,0.067802786,0.028023319,0.013309831,0.0010154,0.000116713,1,1.504631092,1,-0.504631092,0
afe,0.912748668,0.071870561,0.011448233,0.003028613,0.000870641,3.13E-05,1.97E-06,1,1.107503817,1,-0.107503817,0
afi,0.682163311,0.216863055,0.062916188,0.025381137,0.011722043,0.000858793,9.55E-05,1,1.470593811,3,1.529406189,2
afk,0.831244208,0.129667065,0.027147786,0.008689891,0.003085359,0.00015326,1.24E-05,1,1.223214632,1,-0.223214632,0
afn,0.586628753,0.259779065,0.089187252,0.040615555,0.021598142,0.001936599,0.000254634,1,1.657603603,5,3.342396397,4
afo,0.905969299,0.076968654,0.012617186,0.003404864,0.001000377,3.72E-05,2.40E-06,1,1.116619626,1,-0.116619626,0
afp,0.708077239,0.203421647,0.056178731,0.02187849,0.009702749,0.000670165,7.10E-05,1,1.424002276,1,-0.424002276,0
afr,0.998793081,0.001144444,5.51E-05,6.52E-06,8.01E-07,7.22E-09,1.58E-10,1,1.001277536,1,-0.001277536,0
afs,0.251051254,0.301093256,0.183097569,0.127131398,0.112579917,0.020188471,0.004858136,2,2.629093423,4,1.370906577,2
aft,0.254792731,0.3019766,0.182289725,0.125872429,0.110699091,0.019673737,0.004695686,2,2.613512504,2,-0.613512504,0
afu,0.952490029,0.040787455,0.005230716,0.00119192,0.000291335,8.13E-06,4.19E-07,1,1.056033134,1,-0.056033134,0
afz,0.48043632,0.293901228,0.12017186,0.062150124,0.038418931,0.004252982,0.000668555,1,1.899647285,2,0.100352715,1
agb,0.957972024,0.036323044,0.004472219,0.000991069,0.00023508,6.25E-06,3.10E-07,1,1.049214138,1,-0.049214138,0
agc,0.970198724,0.026185501,0.002888628,0.000593945,0.000130022,3.04E-06,1.37E-07,1,1.034280715,1,-0.034280715,0
agd,0.936947078,0.053200121,0.007522275,0.001832908,0.000481704,1.51E-05,8.48E-07,1,1.075750627,1,-0.075750627,0
age,0.910598819,0.073493324,0.011815849,0.00314601,0.00091078,3.31E-05,2.10E-06,1,1.110384363,1,-0.110384363,0
agg,0.801155171,0.149170668,0.033725107,0.011395206,0.004299473,0.000233957,2.04E-05,1,1.269296684,1,-0.269296684,0
agh,0.941698349,0.049442625,0.006800961,0.001626047,0.000418645,1.27E-05,6.96E-07,1,1.069664827,1,-0.069664827,0
agj,0.817350542,0.138792388,0.03013861,0.009898073,0.003617013,0.000187619,1.58E-05,1,1.244264505,1,-0.244264505,0
agk,0.108334849,0.224112385,0.193266053,0.175119834,0.217646934,0.059906944,0.021613,2,3.435804452,5,1.564195548,3
agl,0.755353355,0.177019605,0.044406588,0.016149993,0.006623242,0.000407877,3.93E-05,1,1.343051152,1,-0.343051152,0
agm,0.875624215,0.099122798,0.018175721,0.005302338,0.001697683,7.21E-05,5.16E-06,1,1.158563371,1,-0.158563371,0
agn,0.781667411,0.161291004,0.038176192,0.013323835,0.00521458,0.000299652,2.73E-05,1,1.300135428,1,-0.300135428,0
ago,0.829243908,0.130993542,0.027573333,0.008859504,0.003158922,0.000157917,1.29E-05,1,1.226221238,1,-0.226221238,0
agq,0.916334869,0.069150899,0.010841514,0.00283677,0.00080574,2.84E-05,1.76E-06,1,1.102719997,1,-0.102719997,0
agr,0.802535092,0.148297213,0.033415449,0.011263912,0.004238619,0.000229729,2.00E-05,1,1.267142878,1,-0.267142878,0
ags,0.914319537,0.070681227,0.011181462,0.002943964,0.000841897,3.00E-05,1.87E-06,1,1.105405073,1,-0.105405073,0
agt,0.597363035,0.255500513,0.086139456,0.038715585,0.020273269,0.001778531,0.000229611,1,1.635289577,1,-0.635289577,0
agu,0.673896495,0.220994263,0.06510431,0.02655365,0.012419925,0.000926762,0.000104596,1,1.485804916,1,-0.485804916,0
agv,0.734757334,0.188816961,0.049448092,0.018541852,0.007874003,0.000510428,5.13E-05,1,1.377694833,4,2.622305167,3
agw,0.728699382,0.192200531,0.050957085,0.019275733,0.008268018,0.000543896,5.54E-05,1,1.388065579,1,-0.388065579,0
agx,0.681202493,0.217347134,0.06316957,0.025516034,0.011801783,0.000866489,9.65E-05,1,1.472352935,1,-0.472352935,0
agy,0.445336268,0.301578785,0.130564122,0.070415794,0.045769791,0.005429445,0.000905796,1,1.989615572,1,-0.989615572,0
agz,0.668603166,0.22359922,0.066514802,0.027318578,0.01288101,0.000972416,0.000110807,1,1.495635524,1,-0.495635524,0
aha,0.942166882,0.049070373,0.006730789,0.00160616,0.00041266,1.25E-05,6.82E-07,1,1.069067434,1,-0.069067434,0
ahb,0.560359152,0.269636089,0.096727592,0.045474129,0.025103718,0.002373111,0.000326209,1,1.713751338,1,-0.713751338,0
ahg,0.51197213,0.285402631,0.110856996,0.055221341,0.03264412,0.003396416,0.000506365,1,1.8233774,5,3.1766226,4
ahh,0.713001642,0.200784063,0.054920195,0.021242214,0.009346719,0.000638205,6.70E-05,1,1.415330769,2,0.584669231,1
ahi,0.87335463,0.100737384,0.018611454,0.005458056,0.001757746,7.53E-05,5.43E-06,1,1.161774527,1,-0.161774527,0
ahk,0.971215372,0.025330453,0.002764396,0.000564258,0.000122563,2.83E-06,1.26E-07,1,1.033057188,1,-0.033057188,0
ahl,0.876819801,0.09826993,0.017947249,0.005221074,0.001666496,7.04E-05,5.02E-06,1,1.156875902,1,-0.156875902,0
ahm,0.757358397,0.175846975,0.043923341,0.015925614,0.006508601,0.00039877,3.83E-05,1,1.339728566,1,-0.339728566,0
ahn,0.635067875,0.239359624,0.075611992,0.032424957,0.016073751,0.001304068,0.000157733,1,1.55962022,1,-0.55962022,0
aho,0.017085068,0.077036925,0.112520144,0.154342598,0.334792706,0.176848792,0.127373767,5,4.752762392,6,1.247237608,1
ahp,0.865389119,0.106358558,0.020161377,0.006019599,0.001977567,8.73E-05,6.45E-06,1,1.173125725,1,-0.173125725,0
ahs,0.924020726,0.063267785,0.009569451,0.002442588,0.000675227,2.29E-05,1.37E-06,1,1.092557841,1,-0.092557841,0
aht,0.008116985,0.046533175,0.080215394,0.125771652,0.329049799,0.213577411,0.196735584,5,5.148778674,4,-1.148778674,-1
aia,0.781604068,0.161329746,0.038190893,0.013330331,0.005217728,0.000299884,2.74E-05,1,1.300236962,1,-0.300236962,0
aib,0.209804083,0.288267185,0.190862132,0.1413104,0.135623524,0.026986901,0.007145775,2,2.814225899,2,-0.814225899,0
aic,0.42592503,0.304965387,0.136292327,0.075243481,0.050302884,0.006201289,0.001069601,1,2.041916072,4,1.958083928,3
aid,0.0005056,0.005969689,0.016960348,0.040173746,0.191968334,0.232280262,0.512142021,7,6.162538393,7,0.837461607,0
aie,0.842523053,0.122107354,0.024781042,0.007760783,0.002688903,0.000128726,1.01E-05,1,1.206411859,3,1.793588141,2
aif,0.816017835,0.139656909,0.030429737,0.01001766,0.003670586,0.000191168,1.61E-05,1,1.246304177,1,-0.246304177,0
aig,0.910759858,0.073371963,0.011788211,0.003137154,0.000907741,3.30E-05,2.09E-06,1,1.110168259,1,-0.110168259,0
aih,0.213808927,0.289778312,0.190214635,0.139914495,0.13318443,0.026223208,0.006875994,2,2.79506079,2,-0.79506079,0
aii,0.68792926,0.213936467,0.061400872,0.024579203,0.011250991,0.000813705,8.95E-05,1,1.460085321,2,0.539914679,1
aik,0.79570644,0.152599903,0.034955058,0.011920432,0.004544786,0.000251184,2.22E-05,1,1.277839564,1,-0.277839564,0
ail,0.65312689,0.231033195,0.07067941,0.029618931,0.014294822,0.001116003,0.000130749,1,1.524792604,3,1.475207396,2
aim,0.840639436,0.123379369,0.025172378,0.007912725,0.00275297,0.000132624,1.05E-05,1,1.209200287,1,-0.209200287,0
ain,0.002511582,0.020062149,0.043509414,0.082318256,0.282062944,0.243687642,0.325848014,7,5.655813811,5,-0.655813811,-2
aio,0.267861604,0.304728939,0.179358951,0.121518159,0.104372746,0.017985572,0.004174029,2,2.560464335,2,-0.560464335,0
aip,0.260487764,0.303238776,0.181032716,0.12396651,0.10789658,0.01891771,0.004459943,2,2.59013827,5,2.40986173,3
aiq,0.937090526,0.053087136,0.007500243,0.001826525,0.000479737,1.50E-05,8.43E-07,1,1.075566152,1,-0.075566152,0
air,0.590125828,0.258400914,0.088192058,0.039991186,0.021159897,0.001883883,0.000246234,1,1.650294996,1,-0.650294996,0
ait,0.000215173,0.003064031,0.009902755,0.026148517,0.147298623,0.209342751,0.60402815,7,6.36139224,7,0.63860776,0
aiw,0.973451847,0.023442412,0.002495538,0.00050085,0.00010685,2.40E-06,1.05E-07,1,1.030376059,1,-0.030376059,0
aix,0.865126398,0.106542758,0.020213036,0.006038518,0.001985058,8.77E-05,6.49E-06,1,1.173502264,1,-0.173502264,0
aja,0.693763391,0.210937734,0.059876928,0.023780991,0.010787231,0.000769949,8.38E-05,1,1.449535889,5,3.550464111,4
ajg,0.994398237,0.005180682,0.000358609,5.39E-05,8.48E-06,1.16E-07,3.45E-09,1,1.006094036,1,-0.006094036,0
aji,0.451298108,0.300413012,0.128800491,0.068970002,0.04444704,0.005210815,0.000860532,1,1.973929427,1,-0.973929427,0
ajt,0.066380824,0.175260196,0.177782033,0.182732381,0.267984369,0.090115089,0.039745109,5,3.840004976,3,-0.840004976,-2
aju,0.438321023,0.302875687,0.132637213,0.072139217,0.047367383,0.005697492,0.000961985,1,2.008296665,3,0.991703335,2
ajw,0.009227565,0.05085376,0.08530519,0.130826905,0.331742189,0.208142273,0.183902117,5,5.085037684,7,1.914962316,2
ajz,0.941433559,0.049652865,0.006840696,0.001637326,0.000422046,1.28E-05,7.04E-07,1,1.070002661,1,-0.070002661,0
aka,0.999230444,0.00073354,3.21E-05,3.55E-06,4.09E-07,3.30E-09,6.63E-11,1,1.000809951,1,-0.000809951,0
akb,0.667190316,0.224289168,0.0668925,0.027524622,0.013005987,0.000984892,0.000112516,1,1.498271535,2,0.501728465,1
akc,0.643449015,0.235542421,0.073313348,0.031106256,0.015230376,0.001213905,0.000144679,1,1.543346989,2,0.456653011,1
akd,0.934650649,0.055005034,0.007877098,0.001936252,0.00051373,1.63E-05,9.29E-07,1,1.078710019,1,-0.078710019,0
ake,0.699629311,0.207884785,0.058354287,0.022991758,0.01033375,0.000727785,7.83E-05,1,1.439012503,2,0.560987497,1
akf,0.922603334,0.064358375,0.009801075,0.002513528,0.000698421,2.38E-05,1.44E-06,1,1.09442256,1,-0.09442256,0
akg,0.709504123,0.202660105,0.055813324,0.021693167,0.009598702,0.000660783,6.98E-05,1,1.421483755,1,-0.421483755,0
akh,0.918317588,0.067640385,0.010509626,0.002732859,0.000770956,2.69E-05,1.65E-06,1,1.100086619,1,-0.100086619,0
aki,0.817704977,0.138562149,0.030061308,0.009866378,0.003602842,0.000186682,1.57E-05,1,1.243722658,1,-0.243722658,0
akj,0.001169171,0.011335925,0.028110965,0.059431342,0.239697504,0.24476319,0.415491903,7,5.921409266,7,1.078590734,0
akl,0.981830175,0.016276285,0.001547929,0.000287826,5.66E-05,1.12E-06,4.40E-08,1,1.020467966,1,-0.020467966,0
akm,0.001957159,0.016681271,0.037838502,0.074293835,0.268732525,0.245537781,0.354958927,7,5.747612346,7,1.252387654,0
ako,0.137810953,0.248885169,0.196362093,0.166157325,0.18902199,0.046635307,0.015127163,2,3.220108805,5,1.779891195,3
akp,0.938846382,0.051701854,0.007231834,0.001749085,0.00045598,1.41E-05,7.85E-07,1,1.073311809,1,-0.073311809,0
akq,0.276849461,0.306332346,0.177253656,0.118564828,0.10023104,0.016916109,0.003852561,2,2.525154212,5,2.474845788,3
aks,0.963690631,0.031613923,0.00371188,0.000796331,0.000182427,4.59E-06,2.18E-07,1,1.042180647,1,-0.042180647,0
akt,0.829422368,0.130875372,0.027535297,0.008844313,0.003152318,0.000157497,1.28E-05,1,1.225952672,1,-0.225952672,0
aku,0.669540679,0.223140153,0.066264459,0.027182292,0.012798526,0.000964206,0.000109685,1,1.493889193,1,-0.493889193,0
akv,0.546133466,0.274600286,0.10085345,0.048231022,0.027167744,0.002642061,0.000371972,1,1.745113363,2,0.254886637,1
akw,0.741334099,0.185099046,0.047823118,0.017760788,0.007459881,0.000475841,4.72E-05,1,1.366529737,2,0.633470263,1
akx,0.001838209,0.015920816,0.036516673,0.072360192,0.265284831,0.24576624,0.362313038,7,5.769883494,7,1.230116506,0
aky,0.00225066,0.018502134,0.040932415,0.078724625,0.276284392,0.244689174,0.3386166,7,5.696823876,7,1.303176124,0
akz,0.063268377,0.170762633,0.175803019,0.182800751,0.272232171,0.093232919,0.04190013,5,3.877264982,3,-0.877264982,-2
ala,0.943223382,0.048229829,0.006573201,0.00156166,0.000399316,1.20E-05,6.51E-07,1,1.067722188,1,-0.067722188,0
alc,0.022242482,0.091430159,0.125315367,0.163364796,0.330301414,0.161231282,0.106114501,5,4.596204351,5,0.403795649,0
ald,0.900295031,0.081193049,0.013616996,0.00373332,0.001116137,4.27E-05,2.81E-06,1,1.124321696,1,-0.124321696,0
ale,0.164230542,0.266328243,0.195984617,0.157233344,0.167071469,0.037840035,0.011311749,2,3.055354055,3,-0.055354055,1
alf,0.64801602,0.233427988,0.072067621,0.030399675,0.014783842,0.001166896,0.000137958,1,1.534559852,1,-0.534559852,0
alh,0.112158669,0.22769547,0.193936737,0.174054973,0.213652824,0.05791683,0.020584496,2,3.405436288,5,1.594563712,3
ali,0.92283281,0.064181984,0.009763483,0.002501988,0.000694639,2.37E-05,1.43E-06,1,1.094120374,1,-0.094120374,0
alj,0.880398001,0.095707802,0.017267917,0.004981024,0.001575018,6.56E-05,4.63E-06,1,1.151842594,1,-0.151842594,0
alk,0.659616906,0.227948965,0.068925717,0.028642629,0.013689827,0.001053906,0.000122051,1,1.512489427,1,-0.512489427,0
all,0.421876557,0.305590914,0.13748321,0.07627372,0.051293769,0.006374616,0.001107214,1,2.053069937,2,-0.053069937,1
alm,0.490733271,0.291287551,0.117125123,0.059836676,0.03645204,0.003954397,0.000610943,1,1.874293625,2,0.125706375,1
aln,0.978981844,0.018729933,0.001858789,0.000355729,7.22E-05,1.49E-06,6.11E-08,1,1.023811134,1,-0.023811134,0
alp,0.734004893,0.189239369,0.049634887,0.018632251,0.007922282,0.0005145,5.18E-05,1,1.378978429,1,-0.378978429,0
alq,0.346967062,0.311669458,0.159003704,0.096814579,0.072896492,0.010553299,0.002095407,1,2.277045504,2,-0.277045504,1
alr,0.027321004,0.104154082,0.135567705,0.169601923,0.324081473,0.148374884,0.090898929,5,4.467689149,5,0.532310851,0
als,0.945086577,0.046743582,0.006297485,0.001484337,0.0003763,1.11E-05,5.99E-07,1,1.065355961,1,-0.065355961,0
alt,0.353477239,0.311584377,0.157190302,0.09491751,0.070745159,0.01010335,0.001982063,1,2.256107276,1,-1.256107276,0
alu,0.942603504,0.048723192,0.006665554,0.001587712,0.000407119,1.22E-05,6.69E-07,1,1.068511175,1,-0.068511175,0
alw,0.963194796,0.032024415,0.003776489,0.000812602,0.000186748,4.72E-06,2.26E-07,1,1.042787164,1,-0.042787164,0
alx,0.668488471,0.223655314,0.066545445,0.027335275,0.012891126,0.000973425,0.000110945,1,1.495849324,2,0.504150676,1
aly,0.534669341,0.278404194,0.104196948,0.050518164,0.028921156,0.002877246,0.000412951,1,1.770901142,1,-0.770901142,0
alz,0.987478357,0.011350485,0.000971598,0.000168283,3.07E-05,5.36E-07,1.92E-08,1,1.013924212,1,-0.013924212,0
ama,0.038047261,0.12759152,0.152154017,0.177587546,0.308770648,0.126830592,0.069018415,5,4.248008237,6,1.751991763,1
amb,0.560758269,0.269492974,0.096612237,0.045398068,0.02504754,0.002365912,0.000325,1,1.712881372,1,-0.712881372,0
amc,0.641269729,0.23654286,0.073909499,0.0314464,0.015446671,0.001236859,0.000147982,1,1.54755993,3,1.45244007,2
ame,0.764499968,0.171635617,0.042213317,0.015138564,0.00611023,0.000367526,3.48E-05,1,1.327965157,1,-0.327965157,0
amf,0.922867105,0.064155617,0.009757868,0.002500266,0.000694075,2.36E-05,1.42E-06,1,1.094075222,1,-0.094075222,0
amg,0.063963421,0.171780082,0.176258625,0.182794781,0.271277398,0.092521941,0.041403753,5,3.868823487,5,1.131176513,0
amh,0.999122522,0.000835201,3.75E-05,4.24E-06,4.97E-07,4.14E-09,8.53E-11,1,1.000925,1,-0.000925,0
ami,0.553274863,0.272141639,0.098778846,0.04683587,0.02611646,0.002503994,0.000348328,1,1.729282719,1,-0.729282719,0
amj,0.839805579,0.123941257,0.025346125,0.007980401,0.002781604,0.000134375,1.07E-05,1,1.210436958,1,-0.210436958,0
amk,0.64603925,0.234346158,0.072606217,0.030704474,0.014976003,0.001187064,0.000140834,1,1.53835635,2,0.46164365,1
