Name	Glottocode	ISO639P3code
Sri Lankan Sign Language	sril1237	sqs
Swedish Sign Language	swed1236	swl
Swedish Sign	swed1257	NA
Swiss-Italian Sign Language	swis1235	slf
Swiss-German Sign Language	swis1240	sgg
Swiss-French Sign Language	swis1241	ssr
Szeged	szeg1238	NA
Tainan	tain1241	NA
Taipei	taip1235	NA
Taiwan Sign Language	taiw1241	tss
Tajik Sign Language	taji1251	NA
Tanzanian Sign Language	tanz1238	tza
Tebul Sign Language	tebu1240	tsy
Terena Sign Language	tere1282	NA
Thai Sign Language	thai1240	tsq
Tibetan Sign Language	tibe1277	lsn
Trappist Sign Language	trap1238	NA
Trinidad and Tobago Sign Language	trin1277	lst
Trondheim	tron1237	NA
Tunisian Sign Language	tuni1249	tse
Turkish Sign Language	turk1288	tsm
Ugandan Sign Language	ugan1238	ugn
Ukrainian Sign Language	ukra1235	ukl
Unclassified Deaf Sign Language	unun9986	NA
Urubú-Kaapor Sign Language	urub1243	uks
Uruguayan Sign Language	urug1238	ugy
Valencian Sign Language	vale1251	vsv
Venezuelan Sign Language	vene1237	vsl
Rural Sign Language	vill1244	NA
Vlaamse Gebarentaal	vlaa1235	vgt
Wanib Sign Language	wani1243	NA
West-Central South American Sign	west2886	NA
Yangoon Myanmar Sign Language	yang1309	ysm
Yemeni Sign Language	yeme1237	NA
Yogyakarta Sign Language	yogy1234	NA
Yolngu Sign Language	yoln1234	ygs
Yoruba Sign Language	yoru1246	NA
Yucatec Maya Sign Language	yuca1236	msd
Yugoslavian Sign Language	yugo1238	ysl
Yugoslav Sign	yugo1239	NA
Zambian Sign Language	zamb1239	zsl
Zimbabwe School Sign	zimb1235	NA
Zimbabwe Sign Language	zimb1247	zib
Zimbabwe Community Sign	zimb1248	NA
