ID_ISO_A3	ID_ISO_A2	ID_FIPS	NAM_LABEL	NAME_PROP	NAME2	NAM_ANSI	ISO639P3code	ID	Name	Macroarea	Latitude	Longitude	glottocode	Countries	Family_ID	Language_level_ID	aes	category	classification	level	med	subclassification	Also spoken in	Alternate Names	Autonym	Classification	Country	Dialects	Language Development	Language Maps	Language Resources	Language Status	Language Use	Location	Other Comments	Population	Population Numeric	Typology	Writing	name
kfi-IND	kfi-in	kfi-IN	Kannada Kurumba	Kurumba, Kannada	KURUMBA, KANNADA	Kurumba, Kannada	kfi	kann1253	Kurumba, Kannada	Eurasia	11.3824	76.5256	kann1253	IN	book1242	NA	not endangered	Bookkeeping	book1242	language	Wordlist or less	kann1253:1	NA	Canarese, Korambar, Kuramwari, Kuremban, Kuruba, Kuruban, Kurubar, Kurubas Kuruma, Kuruman, Kurumans, Kurumar, Kurumba, Kurumban, Kurumbar, Kurumbas, Kurumvari, Palu Kurumba, Southern Nonstandard Kannada	NA	Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Kodagu	India	Coimbatore, Dharmapuri, Pudukottai.	Younger generation over 50% literate, older generation less. Radio.	India, Map 8	OLAC resources in and about Kurumba, Kannada	5 (Developing).	Home. All ages. Also use Kannada [kan], Muduga [udg], Tamil [tam].	Tamil Nadu state: Coimbatore district, Pollachi; Dindigul district, Sirumalai and Palani; Teni district, Cumbum Valley; Chingalpattu, Dharmapuri, Salem, and Vellore districts; Karnataka and Andhra Pradesh states.	Reportedly 3 groups of Gowda: Okkili, Anuppa, and Kurumba, which may be languages or dialects of 1 language. Sometimes referred to as Alu or Palu Kurumba, but is a different language from Alu Kurumba [xua] in the hills. Kurumba and Kuruman are different Scheduled Tribes. Hindu.	180,000 (2000).	180000	NA	Tamil script [Taml].	Kurumba, Kannada
bjd-AUS	bjd-au	bjd-AS	Bandjigali	Bandjigali	BANDJIGALI	Bandjigali	bjd	band1337	Bandjigali	Australia	-30.0771	143.282	band1337	AU	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	band1337:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
myi-IND	myi-in	myi-IN	Mina	Mina	MINA	Mina	myi	mina1267	Mina (India)	Eurasia	23.7425	74.5977	mina1267	IN	book1242	NA	not endangered	Bookkeeping	book1242	language	Wordlist or less	mina1267:1	NA	NA	NA	Indo-European, Indo-Iranian, Indo-Aryan, Unclassified	India	NA	NA	India, Map 3	OLAC resources in and about Mina	6a (Vigorous).	Use a mix of Dhundari [dhd], Mewari [mtr], and Mewati [wtm].	Madhya Pradesh state: Guna, Gwalior, Rajgarh, and Shivpuri districts; Vidisha district, Sironj subdistrict; Rajasthan state: Baran, Jhalawar, Kota, and Sawai Madhopur districts; Uttar Pradesh state: Jhansi and Lalitpur districts.	A Scheduled Tribe. Reportedly L1 is Dhundari [dhd] in Rajasthjan and Braj Bhasha [bra] in Madhya Pradesh. Not a Bhil tribe, and there is no connection between Mina and Wagdi, who call themselves Mina Bhil. Hindu.	3,800,000 (IMA 1997).	3800000	NA	NA	Mina
nlr-AUS	nlr-au	nlr-AS	Ngarla	Ngarla	NGARLA	Ngarla	nlr	ngar1286	Ngarla on the Ashburton river south of the Hamersley range	Australia	NA	NA	ngar1286	AU	book1242	NA	nearly extinct	Bookkeeping	book1242	language	Wordlist or less	ngar1286:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
xbx-BRA	xbx-br	xbx-BR	Kabixi	Kabixi	KABIXI	Kabixí	xbx	kabi1264	Kabixí	South America	-14.2403	-58.9931	kabi1264	BR	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	kabi1264:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
shz-MLI	shz-ml	shz-ML	Syenara Senoufo	Senoufo, Syenara	SENOUFO, SYENARA	Senoufo, Syenara	shz	syen1235	Syenara Senoufo	Africa	10.5954	-5.8581	syen1235	BF;CI;ML	book1242	NA	not endangered	Bookkeeping	book1242	language	Wordlist or less	syen1235:1	NA	Senare, Senari, Shenara, Syenara	NA	Niger-Congo, Atlantic-Congo, Volta-Congo, North, Gur, Senufo, Senari	Mali	Sangaar, Kuleele, Loakloho, Tuvunro, Pomporo, Tagbaar.	Literacy rate in L2: 2% in Supyire [spp], 11% in Bambara [bam] (2007 M. Coulibaly). Radio.	Mali, Central enlargement	OLAC resources in and about Sénoufo, Syenara	6a (Vigorous). Recognized language (1982, Decree No. 159 of 19 July, Article 1).	All ages. Positive attitudes. Also use Bamanankan [bam], Jula [dyu], Supyire Sénoufo [spp].	Sikasso region: Kadiolo circle.	Traditional religion, Muslim.	155,000 (2010 SIL), decreasing.	155000	NA	Latin script [Latn], limited usage.	Sénoufo, Syenara
thc-VNM	thc-vn	thc-VM	Tai Hang Tong	Tai Hang Tong	TAI HANG TONG	Tai Hang Tong	thc	taih1245	Tai Pao (Retired)	Eurasia	19.1282	104.225	taih1245	LA;VN	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	taih1245:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pcr-CHN	pcr-cn	pcr-CH	Panang	Panang	PANANG	Panang	pcr	pana1292	Panang	Eurasia	30.7272	86.8317	pana1292	CN	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	pana1292:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
baz-CMR	baz-cm	baz-CM	Tunen	Tunen	TUNEN	Tunen	baz	tune1241	Tunen (Retired)	Africa	4.75	10.67	tune1241	CM	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	tune1241:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tlz-IDN	tlz-id	tlz-ID	Toala	Toala	TOALA	Toala'	tlz	toal1234	Toala'	Papunesia	NA	NA	toal1234	ID	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	toal1234:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
